Carpark Code,Available Spaces,Carpark Open,Timestamp
GREENST,308,True,02-04 23:36:16
MINDENPL,47,True,02-04 23:36:16
PATRIOTICST,335,True,02-04 23:36:16
SANDST,438,True,02-04 23:36:16
PIERRD,712,True,02-04 23:36:16
TEST,100,True,02-04 23:36:16
LESJARDIN,458,True,02-04 23:36:16
GREENST,308,True,02-04 23:41:12
MINDENPL,47,True,02-04 23:41:12
PATRIOTICST,335,True,02-04 23:41:12
SANDST,439,True,02-04 23:41:12
PIERRD,717,True,02-04 23:41:12
TEST,100,True,02-04 23:41:12
LESJARDIN,458,True,02-04 23:41:12
GREENST,308,True,02-04 23:46:15
MINDENPL,47,True,02-04 23:46:15
PATRIOTICST,335,True,02-04 23:46:15
SANDST,439,True,02-04 23:46:15
PIERRD,717,True,02-04 23:46:15
TEST,100,True,02-04 23:46:15
LESJARDIN,458,True,02-04 23:46:15
GREENST,308,True,02-04 23:51:17
MINDENPL,47,True,02-04 23:51:17
PATRIOTICST,335,True,02-04 23:51:17
SANDST,439,True,02-04 23:51:17
PIERRD,717,True,02-04 23:51:17
TEST,100,True,02-04 23:51:17
LESJARDIN,458,True,02-04 23:51:17
GREENST,308,True,02-04 23:56:20
MINDENPL,48,True,02-04 23:56:20
PATRIOTICST,334,True,02-04 23:56:20
SANDST,439,True,02-04 23:56:20
PIERRD,711,True,02-04 23:56:20
LESJARDIN,458,True,02-04 23:56:20
TEST,100,True,02-04 23:56:20
GREENST,308,True,02-05 00:01:26
MINDENPL,48,True,02-05 00:01:26
PATRIOTICST,335,True,02-05 00:01:26
SANDST,439,True,02-05 00:01:26
PIERRD,712,True,02-05 00:01:26
LESJARDIN,458,True,02-05 00:01:26
TEST,100,True,02-05 00:01:26
GREENST,308,True,02-05 00:06:09
MINDENPL,48,True,02-05 00:06:09
PATRIOTICST,335,True,02-05 00:06:09
SANDST,439,True,02-05 00:06:09
PIERRD,712,True,02-05 00:06:09
TEST,100,True,02-05 00:06:09
LESJARDIN,458,True,02-05 00:06:09
GREENST,308,True,02-05 00:11:11
MINDENPL,48,True,02-05 00:11:11
PATRIOTICST,335,True,02-05 00:11:11
SANDST,439,True,02-05 00:11:11
PIERRD,712,True,02-05 00:11:11
TEST,100,True,02-05 00:11:11
LESJARDIN,458,True,02-05 00:11:11
GREENST,308,True,02-05 00:16:13
MINDENPL,48,True,02-05 00:16:13
PATRIOTICST,336,True,02-05 00:16:13
SANDST,439,True,02-05 00:16:13
PIERRD,712,True,02-05 00:16:13
TEST,100,True,02-05 00:16:13
LESJARDIN,458,True,02-05 00:16:13
GREENST,307,True,02-05 00:21:10
MINDENPL,48,True,02-05 00:21:10
PATRIOTICST,336,True,02-05 00:21:10
SANDST,439,True,02-05 00:21:10
PIERRD,712,True,02-05 00:21:10
TEST,100,True,02-05 00:21:10
LESJARDIN,458,True,02-05 00:21:10
GREENST,307,True,02-05 00:26:13
MINDENPL,48,True,02-05 00:26:13
PATRIOTICST,337,True,02-05 00:26:13
SANDST,439,True,02-05 00:26:13
PIERRD,712,True,02-05 00:26:13
TEST,100,True,02-05 00:26:13
LESJARDIN,458,True,02-05 00:26:13
GREENST,307,True,02-05 00:31:21
MINDENPL,48,True,02-05 00:31:21
PATRIOTICST,337,True,02-05 00:31:21
SANDST,439,True,02-05 00:31:21
PIERRD,712,True,02-05 00:31:21
LESJARDIN,458,True,02-05 00:31:21
TEST,100,True,02-05 00:31:21
GREENST,307,True,02-05 00:36:24
MINDENPL,48,True,02-05 00:36:24
PATRIOTICST,337,True,02-05 00:36:24
SANDST,439,True,02-05 00:36:24
PIERRD,712,True,02-05 00:36:24
LESJARDIN,458,True,02-05 00:36:24
TEST,100,True,02-05 00:36:24
TEST,100,True,02-05 00:41:26
LESJARDIN,458,True,02-05 00:41:26
GREENST,306,True,02-05 00:41:26
MINDENPL,48,True,02-05 00:41:26
PATRIOTICST,337,True,02-05 00:41:26
SANDST,439,True,02-05 00:41:26
PIERRD,712,True,02-05 00:41:26
GREENST,306,True,02-05 00:46:10
MINDENPL,48,True,02-05 00:46:10
PATRIOTICST,337,True,02-05 00:46:10
SANDST,439,True,02-05 00:46:10
PIERRD,712,True,02-05 00:46:10
TEST,100,True,02-05 00:46:10
LESJARDIN,458,True,02-05 00:46:10
TEST,100,True,02-05 00:51:32
LESJARDIN,458,True,02-05 00:51:32
GREENST,307,True,02-05 00:51:32
MINDENPL,48,True,02-05 00:51:32
PATRIOTICST,337,True,02-05 00:51:32
SANDST,439,True,02-05 00:51:32
PIERRD,712,True,02-05 00:51:32
GREENST,307,True,02-05 00:56:15
MINDENPL,48,True,02-05 00:56:15
PATRIOTICST,337,True,02-05 00:56:15
SANDST,439,True,02-05 00:56:15
PIERRD,712,True,02-05 00:56:15
TEST,100,True,02-05 00:56:15
LESJARDIN,458,True,02-05 00:56:15
GREENST,307,True,02-05 01:01:17
MINDENPL,48,True,02-05 01:01:17
PATRIOTICST,337,True,02-05 01:01:17
SANDST,439,True,02-05 01:01:17
PIERRD,712,True,02-05 01:01:17
TEST,100,True,02-05 01:01:17
LESJARDIN,458,True,02-05 01:01:17
GREENST,307,True,02-05 01:06:30
MINDENPL,48,True,02-05 01:06:30
PATRIOTICST,337,True,02-05 01:06:30
SANDST,439,True,02-05 01:06:30
PIERRD,712,True,02-05 01:06:30
LESJARDIN,458,True,02-05 01:06:30
TEST,100,True,02-05 01:06:30
GREENST,307,True,02-05 01:11:33
MINDENPL,49,True,02-05 01:11:33
PATRIOTICST,337,True,02-05 01:11:33
SANDST,439,True,02-05 01:11:33
PIERRD,712,True,02-05 01:11:33
TEST,100,True,02-05 01:11:33
LESJARDIN,458,True,02-05 01:11:33
GREENST,307,True,02-05 01:16:16
MINDENPL,49,True,02-05 01:16:16
PATRIOTICST,337,True,02-05 01:16:16
SANDST,439,True,02-05 01:16:16
PIERRD,712,True,02-05 01:16:16
TEST,100,True,02-05 01:16:16
LESJARDIN,458,True,02-05 01:16:16
GREENST,307,True,02-05 01:21:34
MINDENPL,49,True,02-05 01:21:34
PATRIOTICST,337,True,02-05 01:21:34
SANDST,439,True,02-05 01:21:34
PIERRD,712,True,02-05 01:21:34
TEST,100,True,02-05 01:21:34
LESJARDIN,458,True,02-05 01:21:34
GREENST,307,True,02-05 01:26:17
MINDENPL,49,True,02-05 01:26:17
PATRIOTICST,337,True,02-05 01:26:17
SANDST,439,True,02-05 01:26:17
PIERRD,712,True,02-05 01:26:17
TEST,100,True,02-05 01:26:17
LESJARDIN,458,True,02-05 01:26:17
GREENST,307,True,02-05 01:31:20
MINDENPL,49,True,02-05 01:31:20
PATRIOTICST,337,True,02-05 01:31:20
SANDST,439,True,02-05 01:31:20
PIERRD,712,True,02-05 01:31:20
LESJARDIN,458,True,02-05 01:31:20
TEST,100,True,02-05 01:31:20
GREENST,307,True,02-05 01:36:24
MINDENPL,49,True,02-05 01:36:24
PATRIOTICST,337,True,02-05 01:36:24
SANDST,439,True,02-05 01:36:24
PIERRD,712,True,02-05 01:36:24
LESJARDIN,458,True,02-05 01:36:24
TEST,100,True,02-05 01:36:24
GREENST,307,True,02-05 01:41:33
